ai (love),87.4000000000000000
jikan (time),83.70000000000000000000
kotoba (word),82.2000000000000000
jouhou (information),81.20000000000000000000
kanasimi (sorrow),80.6000000000000000
kyouhu (fear),79.8000000000000000
kairaku (pleasure),79.6000000000000000
rikai (understanding),79.4000000000000000
ikari (anger),79.2000000000000000
zetubou (despair),78.8000000000000000
kanjou (emotion),78.6000000000000000
oto (sound),77.90000000000000000000
yorokobi (delight),77.8000000000000000
kuuki (air),76.90000000000000000000
ansin (relief),76.40000000000000000000
yuuki (bravery),75.7000000000000000
zouo (hatred),75.2000000000000000
tanosisa (enjoyment),75.1000000000000000
jounetu (passion),74.90000000000000000000
hikari (light),74.50000000000000000000
huan (anxiety),73.9000000000000000
koe (voice),73.80000000000000000000
kimoti (feeling),73.40000000000000000000
kinsen (money),72.60000000000000000000
sitto (envy),72.1000000000000000
syutisin (shame),72.1000000000000000
iwa (rock),71.90000000000000000000
roudou (labor),68.00000000000000000000
suimin (sleep),66.9000000000000000
kibou (hope),63.00000000000000000000
ito (intention),61.90000000000000000000
neko (cat),59.80000000000000000000
human (complaint),59.70000000000000000000
nioi (smell),55.90000000000000000000
suna (sand),53.70000000000000000000
doro (mud),49.50000000000000000000
ari (ant),46.30000000000000000000
abura (oil),41.60000000000000000000
keeki (cake),34.10000000000000000000
mizu (water),20.80000000000000000000
