noun,verb,metric,mean
jikan (time),X ni sizumu (Y sinks into X),metaphoricity,2.9000000000000000
ikari (anger),X ga ahureru (X overflows),metaphoricity,2.3000000000000000
hikari (light),X ga tamaru (X gets collected),metaphoricity,2.4000000000000000
jouhou (information),X ga sitataru (X drips),metaphoricity,2.9000000000000000
doro (mud),X wo susuru (Y sips X),comprehensibility,2.4000000000000000
keeki (cake),X wo siboridasu (Y squeezes X),novelty,3.2000000000000000
huan (anxiety),X ga koboreru (X spills out),comprehensibility,2.4000000000000000
kairaku (pleasure),X ga nagarederu (X flows out),metaphoricity,2.6000000000000000
jikan (time),X ni hitasu (Y dips Z in X),novelty,3.3000000000000000
ito (intention),X ga nizimu (X oozes),novelty,1.6000000000000000
zouo (hatred),X de susugu (Y rinses Z with X),metaphoricity,2.8000000000000000
jikan (time),X ga yodomu (X gets stagnant),metaphoricity,3.2000000000000000
syutisin (shame),X ga nagarederu (X flows out),metaphoricity,2.5000000000000000
iwa (rock),X ni hitaru (Y soaks in X),comprehensibility,0.70000000000000000000
koe (voice),X ga mitiru (X fills Y),comprehensibility,2.8000000000000000
kanjou (emotion),X wo sosogu (Y pours X),comprehensibility,2.7000000000000000
ansin (relief),X wo tarasu (Y drops X),metaphoricity,2.4000000000000000
jikan (time),X ga waku (X gushes out),metaphoricity,2.8000000000000000
kanasimi (sorrow),X ga moreru (X leaks),comprehensibility,1.9000000000000000
ito (intention),X ga sitataru (X drips),comprehensibility,0.90000000000000000000
kyouhu (fear),X wo siboridasu (Y squeezes X),comprehensibility,2.0000000000000000
suimin (sleep),X ga sitataru (X drips),metaphoricity,1.7000000000000000
hikari (light),X ga uzumaku (X whirls),metaphoricity,2.6000000000000000
jounetu (passion),X ga huttou-suru (X boils),novelty,2.7000000000000000
jounetu (passion),X ga moreru (X leaks),metaphoricity,1.7000000000000000
suna (sand),X ga mitiru (X fills Y),novelty,2.7000000000000000
mizu (water),X wo siboridasu (Y squeezes X),metaphoricity,0.90000000000000000000
ikari (anger),X ga nigoru (X gets cloudy),novelty,3.3000000000000000
ari (ant),X ga simiru (X soaks into Y),metaphoricity,0.80000000000000000000
kairaku (pleasure),X wo sosogu (Y pours X),novelty,2.8000000000000000
rikai (understanding),X ga simiru (X soaks into Y),novelty,3.8000000000000000
yuuki (bravery),X ga ahureru (X overflows),comprehensibility,3.7000000000000000
syutisin (shame),X wo sosogu (Y pours X),novelty,3.5000000000000000
kotoba (word),X wo makitirasu (Y sprinkles X),novelty,2.3000000000000000
tanosisa (enjoyment),X wo nomu (Y drinks X),comprehensibility,0.90000000000000000000
keeki (cake),X ga uzumaku (X whirls),metaphoricity,1.2000000000000000
sitto (envy),X wo kumitoru (Y scoops up X),novelty,3.4000000000000000
roudou (labor),X ni uku (Y floats on X),metaphoricity,1.1000000000000000
abura (oil),X ga nigoru (X gets cloudy),metaphoricity,0.70000000000000000000
nioi (smell),X wo susuru (Y sips X),metaphoricity,2.2000000000000000
kuuki (air),X ni hitaru (Y soaks in X),novelty,1.8000000000000000
koe (voice),X ni uku (Y floats on X),metaphoricity,2.0000000000000000
kinsen (money),X ga sitataru (X drips),metaphoricity,2.5000000000000000
yorokobi (delight),X ga koboreru (X spills out),novelty,2.6000000000000000
kimoti (feeling),X ga koboreru (X spills out),metaphoricity,2.8000000000000000
ari (ant),X ga hotobasiru (X spurts),comprehensibility,0.30000000000000000000
mizu (water),X ga tamaru (X gets collected),novelty,0.40000000000000000000
hikari (light),X ga nagarederu (X flows out),novelty,2.5000000000000000
mizu (water),X wo sosogu (Y pours X),novelty,0.50000000000000000000
roudou (labor),X de susugu (Y rinses Z with X),metaphoricity,1.8000000000000000
kanasimi (sorrow),X ni tukaru (Y gets submerged in X),comprehensibility,3.3000000000000000
jikan (time),X ni oboreru (Y almost drowns in X),comprehensibility,1.6000000000000000
kibou (hope),X ga hotobasiru (X spurts),metaphoricity,1.1000000000000000
doro (mud),X ni hitaru (Y soaks in X),novelty,3.0000000000000000
suimin (sleep),X ga nigoru (X gets cloudy),metaphoricity,1.5000000000000000
ito (intention),X ga nigoru (X gets cloudy),comprehensibility,2.0000000000000000
keeki (cake),X wo tarasu (Y drops X),comprehensibility,0.60000000000000000000
zouo (hatred),X ga mitiru (X fills Y),comprehensibility,3.0000000000000000
ikari (anger),X ga sitataru (X drips),novelty,3.4000000000000000
kibou (hope),X ga simiru (X soaks into Y),comprehensibility,0.70000000000000000000
jouhou (information),X ga ahureru (X overflows),novelty,1.1000000000000000
syutisin (shame),X ga tamaru (X gets collected),novelty,3.6000000000000000
koe (voice),X de susugu (Y rinses Z with X),metaphoricity,1.9000000000000000
iwa (rock),X wo susuru (Y sips X),novelty,4.0000000000000000
jounetu (passion),X ga sumu (X gets clear),novelty,3.4000000000000000
jounetu (passion),X ni tukaru (Y gets submerged in X),metaphoricity,2.6000000000000000
kairaku (pleasure),X ga tamaru (X gets collected),novelty,3.2000000000000000
abura (oil),X ga sitataru (X drips),metaphoricity,1.00000000000000000000
sitto (envy),X wo abiseru (Y showers X),comprehensibility,1.2000000000000000
ansin (relief),X ga uzumaku (X whirls),comprehensibility,1.7000000000000000
oto (sound),X ga nagareru (X flows),comprehensibility,3.8000000000000000
yuuki (bravery),X ga nizimu (X oozes),metaphoricity,2.0000000000000000
zetubou (despair),X ga hotobasiru (X spurts),comprehensibility,1.4000000000000000
hikari (light),X wo tarasu (Y drops X),comprehensibility,1.4000000000000000
kimoti (feeling),X wo susuru (Y sips X),comprehensibility,1.2000000000000000
zetubou (despair),X ga simiru (X soaks into Y),metaphoricity,2.0000000000000000
syutisin (shame),X wo siboridasu (Y squeezes X),metaphoricity,1.3000000000000000
kinsen (money),X ga nigoru (X gets cloudy),metaphoricity,2.4000000000000000
ai (love),X ni oboreru (Y almost drowns in X),novelty,0.10000000000000000000
nioi (smell),X ga koboreru (X spills out),comprehensibility,1.9000000000000000
kanjou (emotion),X ga tamaru (X gets collected),comprehensibility,2.6000000000000000
keeki (cake),X ga nagarederu (X flows out),novelty,3.8000000000000000
kairaku (pleasure),X wo siboridasu (Y squeezes X),metaphoricity,2.5000000000000000
