mizu (water),126.0000000000000000
abura (oil),102.6000000000000000
kanjou (emotion),88.70000000000000000000
doro (mud),86.00000000000000000000
jouhou (information),78.30000000000000000000
kotoba (word),78.20000000000000000000
human (complaint),77.10000000000000000000
kimoti (feeling),75.10000000000000000000
oto (sound),73.10000000000000000000
koe (voice),72.70000000000000000000
suna (sand),72.40000000000000000000
kuuki (air),72.10000000000000000000
ai (love),72.10000000000000000000
kanasimi (sorrow),71.80000000000000000000
nioi (smell),71.40000000000000000000
huan (anxiety),70.50000000000000000000
jounetu (passion),69.00000000000000000000
zouo (hatred),68.30000000000000000000
yorokobi (delight),67.70000000000000000000
ikari (anger),66.30000000000000000000
hikari (light),65.80000000000000000000
tanosisa (enjoyment),63.20000000000000000000
kinsen (money),60.30000000000000000000
kyouhu (fear),59.30000000000000000000
kibou (hope),57.50000000000000000000
kairaku (pleasure),55.50000000000000000000
sitto (envy),54.20000000000000000000
yuuki (bravery),53.40000000000000000000
syutisin (shame),50.80000000000000000000
ito (intention),49.40000000000000000000
zetubou (despair),48.80000000000000000000
ansin (relief),46.00000000000000000000
jikan (time),43.90000000000000000000
ari (ant),34.70000000000000000000
iwa (rock),32.50000000000000000000
roudou (labor),31.50000000000000000000
rikai (understanding),30.70000000000000000000
keeki (cake),29.00000000000000000000
neko (cat),24.20000000000000000000
suimin (sleep),22.90000000000000000000
